timestamp,cpu_percent,ram_percent,cpu_temp,gpu_temp,cpu_limit,cpu_temp_limit,gpu_temp_limit,alert_main
2025-11-28 14:14:22,2.3,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:14:23,69.9,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:14:24,51.3,80.4,,,100.0,80.0,75.0,0
2025-11-28 14:14:25,68.0,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:14:26,59.9,81.2,,,100.0,80.0,75.0,0
2025-11-28 14:14:27,89.8,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:14:28,89.6,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:14:29,88.9,81.8,,,100.0,80.0,75.0,0
2025-11-28 14:14:30,51.9,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:14:31,60.7,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:14:32,49.8,81.3,,,100.0,80.0,75.0,0
2025-11-28 14:14:33,46.5,81.4,,,100.0,80.0,75.0,0
2025-11-28 14:14:34,42.8,79.5,,,100.0,80.0,75.0,0
2025-11-28 14:14:35,77.3,78.9,,,100.0,80.0,75.0,0
2025-11-28 14:14:36,40.2,78.9,,,100.0,80.0,75.0,0
2025-11-28 14:14:37,45.8,78.9,,,100.0,80.0,75.0,0
2025-11-28 14:14:38,75.2,79.1,,,100.0,80.0,75.0,0
2025-11-28 14:14:39,72.4,79.1,,,100.0,80.0,75.0,0
2025-11-28 14:14:40,49.5,79.0,,,100.0,80.0,75.0,0
2025-11-28 14:14:41,63.3,79.3,,,100.0,80.0,75.0,0
2025-11-28 14:14:42,47.5,79.2,,,100.0,80.0,75.0,0
2025-11-28 14:14:43,59.1,79.3,,,100.0,80.0,75.0,0
2025-11-28 14:14:45,73.6,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:14:46,56.6,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:14:47,44.4,80.0,,,100.0,80.0,75.0,0
2025-11-28 14:14:48,76.2,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:14:49,53.3,80.1,,,100.0,80.0,75.0,0
2025-11-28 14:14:50,57.7,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:14:51,51.3,80.1,,,100.0,80.0,75.0,0
2025-11-28 14:14:52,62.9,80.0,,,100.0,80.0,75.0,0
2025-11-28 14:14:53,53.4,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:14:54,51.6,79.5,,,100.0,80.0,75.0,0
2025-11-28 14:14:55,71.0,79.6,,,100.0,80.0,75.0,0
2025-11-28 14:14:56,71.2,79.5,,,100.0,80.0,75.0,0
2025-11-28 14:14:57,35.3,79.0,,,100.0,80.0,75.0,0
2025-11-28 14:14:58,38.5,79.0,,,100.0,80.0,75.0,0
2025-11-28 14:14:59,46.1,79.0,,,100.0,80.0,75.0,0
2025-11-28 14:15:00,44.8,79.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:01,18.8,78.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:02,14.0,78.8,,,100.0,80.0,75.0,0
2025-11-28 14:15:03,32.5,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:15:04,37.9,79.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:05,52.4,79.5,,,100.0,80.0,75.0,0
2025-11-28 14:15:06,63.0,79.6,,,100.0,80.0,75.0,0
2025-11-28 14:15:08,44.4,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:09,56.2,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:10,35.8,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:15:11,50.9,80.0,,,100.0,80.0,75.0,0
2025-11-28 14:15:12,46.5,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:15:13,41.0,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:14,45.4,80.8,,,100.0,80.0,75.0,0
2025-11-28 14:15:15,51.8,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:16,29.5,80.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:17,18.5,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:18,12.4,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:19,45.0,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:20,42.7,80.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:21,37.5,81.0,,,100.0,80.0,75.0,0
2025-11-28 14:15:22,32.5,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:23,18.1,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:24,16.4,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:15:25,17.6,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:15:26,11.4,80.5,,,100.0,80.0,75.0,0
2025-11-28 14:15:27,15.8,80.4,,,100.0,80.0,75.0,0
2025-11-28 14:15:28,18.9,80.3,,,100.0,80.0,75.0,0
2025-11-28 14:15:29,19.0,79.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:30,18.5,79.8,,,100.0,80.0,75.0,0
2025-11-28 14:15:31,18.2,79.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:33,34.0,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:34,81.6,79.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:35,85.9,79.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:36,67.7,80.2,,,100.0,80.0,75.0,0
2025-11-28 14:15:37,73.5,80.6,,,100.0,80.0,75.0,0
2025-11-28 14:15:38,68.3,81.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:39,72.9,81.5,,,100.0,80.0,75.0,0
2025-11-28 14:15:40,70.0,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:41,66.2,82.2,,,100.0,80.0,75.0,0
2025-11-28 14:15:42,69.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:43,82.3,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:44,86.4,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:45,80.1,82.1,,,100.0,80.0,75.0,0
2025-11-28 14:15:46,90.4,82.2,,,100.0,80.0,75.0,0
2025-11-28 14:15:47,84.8,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:48,86.6,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:49,81.7,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:50,72.2,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:52,69.6,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:53,66.5,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:54,68.0,81.6,,,100.0,80.0,75.0,0
2025-11-28 14:15:55,68.3,81.7,,,100.0,80.0,75.0,0
2025-11-28 14:15:56,80.7,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:57,74.1,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:58,67.0,81.9,,,100.0,80.0,75.0,0
2025-11-28 14:15:59,67.6,82.0,,,100.0,80.0,75.0,0
2025-11-28 14:16:00,81.4,81.9,,,100.0,80.0,75.0,0
